furnishing,parking,bath,price,size,loc,sqft
Semi-Furnished,1,2,18000000,2,Andheri East Mumbai,682
Furnished,1,2,20000000,2,Andheri East Mumbai,670
Furnished,1,4,60500000,4,Andheri East Mumbai,1499
Semi-Furnished,1,1,9500000,1,Andheri East Mumbai,430
Unfurnished,1,3,27000000,3,Andheri East Mumbai,900
Furnished,1,2,23500000,2,Andheri East Mumbai,700
Unfurnished,1,2,6000000,1,Andheri East Mumbai,270
Semi-Furnished,1,2,17000000,2,Andheri East Mumbai,630
Furnished,1,2,13500000,1,Andheri East Mumbai,720
Semi-Furnished,1,5,70000000,4,Andheri East Mumbai,720
Unfurnished,1,2,13500000,1,Andheri East Mumbai,486
Unfurnished,1,2,18500000,2,Andheri East Mumbai,827
Furnished,1,2,18900000,2,Andheri East Mumbai,720
Semi-Furnished,1,2,14500000,1,Andheri East Mumbai,412
Furnished,1,2,25500000,2,Andheri East Mumbai,720
Furnished,1,2,15500000,2,Andheri East Mumbai,720
Furnished,1,2,21000000,3,Andheri East Mumbai,950
Furnished,1,2,30000000,2,Andheri East Mumbai,720
Unfurnished,1,2,8000000,4,Andheri East Mumbai,500
Unfurnished,1,3,23500000,3,Andheri East Mumbai,850
Furnished,1,1,8000000,1,Andheri East Mumbai,720
Semi-Furnished,1,2,18500000,1,Andheri East Mumbai,620
Unfurnished,1,3,27000000,3,Andheri East Mumbai,1100
Semi-Furnished,1,2,21000000,2,Andheri East Mumbai,1105
Semi-Furnished,1,2,18500000,2,Andheri East Mumbai,640
Semi-Furnished,3,4,37000000,4,Andheri East Mumbai,720
Semi-Furnished,1,2,12500000,1,Andheri East Mumbai,450
Semi-Furnished,2,2,18500000,2,Andheri East Mumbai,750
Semi-Furnished,1,2,26000000,2,Andheri East Mumbai,800
Furnished,1,2,29500000,3,Andheri East Mumbai,889
Semi-Furnished,1,2,27000000,2,Andheri East Mumbai,743
Semi-Furnished,1,2,15000000,2,Andheri East Mumbai,630
Unfurnished,1,1,12500000,1,Andheri East Mumbai,470
Unfurnished,1,1,13500000,1,Andheri East Mumbai,720
Unfurnished,1,2,24500000,2,Andheri East Mumbai,760
Unfurnished,1,2,11000000,1,Andheri East Mumbai,380
Semi-Furnished,1,2,21000000,2,Andheri East Mumbai,720
Unfurnished,1,1,6900000,1,Andheri East Mumbai,325
Semi-Furnished,1,1,15500000,2,Andheri East Mumbai,572
Furnished,1,2,19000000,2,Andheri East Mumbai,650
Furnished,1,2,20000000,2,Andheri East Mumbai,710
Semi-Furnished,1,2,16000000,2,Andheri East Mumbai,500
Semi-Furnished,1,1,12000000,2,Andheri East Mumbai,720
Furnished,1,2,20000000,2,Andheri East Mumbai,675
Unfurnished,1,3,19000000,3,Andheri East Mumbai,1040
Unfurnished,1,3,37500000,3,Andheri East Mumbai,1325
Semi-Furnished,1,4,23500000,3,Andheri East Mumbai,850
Semi-Furnished,1,3,22500000,3,Andheri East Mumbai,1200
Unfurnished,2,3,38700000,3,Andheri East Mumbai,1226
Unfurnished,1,1,5000000,1,Andheri East Mumbai,250
Semi-Furnished,1,2,17000000,2,Andheri East Mumbai,720
Semi-Furnished,1,2,31500000,2,Andheri East Mumbai,720
Furnished,1,2,19000000,2,Andheri East Mumbai,925
Furnished,1,2,14000000,1,Andheri East Mumbai,525
Semi-Furnished,1,2,16200000,2,Andheri East Mumbai,533
Semi-Furnished,1,2,14000000,1,Andheri East Mumbai,490
Semi-Furnished,1,2,27200000,2,Andheri East Mumbai,818
Semi-Furnished,1,2,19500000,2,Andheri East Mumbai,720
Furnished,1,2,17000000,2,Andheri East Mumbai,720
Furnished,1,3,45500000,3,Andheri East Mumbai,1050
Unfurnished,1,1,8000000,1,Andheri East Mumbai,430
Semi-Furnished,1,1,4500000,1,Andheri East Mumbai,225
Semi-Furnished,1,2,12000000,1,Andheri East Mumbai,720
Furnished,1,2,15500000,2,Andheri East Mumbai,700
Semi-Furnished,1,2,15500000,1,Andheri East Mumbai,600
Furnished,1,2,19900000,2,Andheri East Mumbai,807
Semi-Furnished,1,2,22500000,2,Andheri East Mumbai,720
Furnished,1,2,25000000,2,Andheri East Mumbai,692
Furnished,1,1,9000000,1,Andheri East Mumbai,312
Semi-Furnished,1,1,9900000,1,Andheri East Mumbai,464
Unfurnished,1,3,24000000,3,Andheri East Mumbai,1038
Furnished,1,3,45000000,4,Andheri East Mumbai,1400
Unfurnished,1,2,13500000,2,Andheri East Mumbai,720
Furnished,1,2,18000000,2,Andheri East Mumbai,700
Furnished,1,1,10800000,1,Andheri East Mumbai,720
Unfurnished,2,1,13000000,1,Andheri East Mumbai,380
Unfurnished,1,2,9900000,2,Andheri East Mumbai,320
Unfurnished,1,2,12500000,1,Andheri East Mumbai,570
Furnished,1,3,31500000,3,Andheri East Mumbai,1200
Furnished,1,2,19500000,2,Andheri East Mumbai,720
Unfurnished,1,2,14000000,2,Andheri East Mumbai,700
Semi-Furnished,1,2,11800000,2,Andheri East Mumbai,500
Furnished,1,4,21500000,3,Andheri East Mumbai,1300
Furnished,1,1,13000000,1,Andheri East Mumbai,525
Semi-Furnished,1,1,11500000,1,Andheri East Mumbai,720
Unfurnished,1,1,14000000,1,Andheri East Mumbai,390
Unfurnished,1,2,20000000,2,Andheri East Mumbai,720
Semi-Furnished,1,2,17000000,2,Andheri East Mumbai,690
Semi-Furnished,1,2,4800000,1,Andheri East Mumbai,365
Unfurnished,1,3,26100000,3,Andheri East Mumbai,720
Semi-Furnished,1,2,27000000,2,Andheri East Mumbai,720
Unfurnished,1,2,24500000,2,Andheri East Mumbai,720
Unfurnished,1,2,19000000,2,Andheri East Mumbai,640
Unfurnished,1,2,17000000,2,Andheri East Mumbai,548
Unfurnished,3,3,32500000,3,Andheri East Mumbai,1150
Unfurnished,1,1,10000000,1,Andheri East Mumbai,485
Furnished,1,2,16500000,1,Andheri East Mumbai,620
Furnished,2,2,26500000,2,Andheri East Mumbai,831
Semi-Furnished,1,2,12000000,1,Andheri East Mumbai,454
Furnished,1,2,36100000,2,Andheri East Mumbai,1060
Furnished,1,3,32500000,3,Andheri East Mumbai,1000
Semi-Furnished,1,2,18500000,2,Andheri East Mumbai,770
Furnished,1,2,14500000,2,Andheri East Mumbai,815
Furnished,1,3,27500000,3,Andheri East Mumbai,857
Furnished,2,1,12500000,1,Andheri East Mumbai,450
Unfurnished,1,2,17000000,2,Andheri East Mumbai,660
Unfurnished,1,1,4000000,1,Andheri East Mumbai,240
Unfurnished,1,1,18000000,2,Andheri East Mumbai,650
Furnished,1,2,15000000,1,Andheri East Mumbai,720
Furnished,1,2,21200000,2,Andheri East Mumbai,825
Furnished,1,2,13000000,1,Andheri East Mumbai,408
Furnished,1,1,11500000,2,Andheri East Mumbai,720
Furnished,1,2,18500000,2,Andheri East Mumbai,750
Semi-Furnished,1,1,20000000,2,Andheri East Mumbai,720
Semi-Furnished,1,2,13500000,1,Andheri East Mumbai,600
Unfurnished,1,1,3500000,1,Andheri East Mumbai,720
Unfurnished,1,1,12000000,1,Andheri East Mumbai,720
Semi-Furnished,1,1,2800000,1,Andheri East Mumbai,250
Unfurnished,1,2,9000000,1,Andheri East Mumbai,335
Semi-Furnished,1,2,19500000,2,Andheri East Mumbai,650
Semi-Furnished,2,4,44000000,5,Andheri East Mumbai,1300
Furnished,1,3,28500000,3,Andheri East Mumbai,1050
Unfurnished,1,2,13500000,1,Andheri East Mumbai,451
Semi-Furnished,1,1,15000000,1,Andheri East Mumbai,510
Unfurnished,1,2,19000000,2,Andheri East Mumbai,780
Unfurnished,1,2,16700000,2,Andheri East Mumbai,682
Unfurnished,1,1,9000000,1,Andheri East Mumbai,305
Semi-Furnished,1,2,10600000,1,Andheri East Mumbai,720
Furnished,1,2,12500000,1,Andheri East Mumbai,720
Unfurnished,1,2,12500000,1,Andheri East Mumbai,450
Semi-Furnished,1,2,17500000,2,Andheri East Mumbai,640
Semi-Furnished,1,2,13000000,2,Andheri East Mumbai,510
Semi-Furnished,1,2,22000000,2,Andheri East Mumbai,675
Furnished,1,2,21000000,2,Andheri East Mumbai,850
Unfurnished,1,1,1100000,1,Andheri East Mumbai,720
Semi-Furnished,1,1,11000000,1,Andheri East Mumbai,477
Unfurnished,1,1,12500000,1,Andheri East Mumbai,450
Unfurnished,1,2,14000000,2,Andheri East Mumbai,565
Unfurnished,1,3,25000000,2,Andheri East Mumbai,776
Unfurnished,1,3,20500000,3,Andheri East Mumbai,900
Unfurnished,1,1,12000000,1,Andheri East Mumbai,500
Semi-Furnished,1,2,13000000,1,Andheri East Mumbai,720
Unfurnished,1,1,15900000,2,Andheri East Mumbai,660
Semi-Furnished,1,3,30000000,3,Andheri East Mumbai,1070
Unfurnished,1,1,16000000,1,Andheri East Mumbai,450
Semi-Furnished,1,2,18000000,2,Andheri East Mumbai,710
Semi-Furnished,1,2,12200000,1,Andheri East Mumbai,436
Unfurnished,1,3,36500000,3,Andheri East Mumbai,1050
Furnished,1,2,14500000,1,Andheri East Mumbai,490
Unfurnished,1,2,15700000,2,Andheri East Mumbai,660
Furnished,1,1,10000000,1,Andheri East Mumbai,565
Semi-Furnished,1,2,14000000,1,Andheri East Mumbai,435
Unfurnished,1,2,15500000,1,Andheri East Mumbai,482
Semi-Furnished,1,3,41500000,3,Andheri East Mumbai,1304
Unfurnished,1,1,10000000,1,Andheri East Mumbai,393
Unfurnished,1,1,13000000,1,Andheri East Mumbai,720
Semi-Furnished,1,1,8300000,1,Andheri East Mumbai,308
Semi-Furnished,1,2,21500000,2,Andheri East Mumbai,720
Furnished,1,1,10000000,1,Andheri East Mumbai,450
Unfurnished,2,2,24000000,2,Andheri East Mumbai,696
Unfurnished,1,1,13000000,1,Andheri East Mumbai,525
Semi-Furnished,1,2,24000000,2,Andheri East Mumbai,750
Unfurnished,1,2,8500000,1,Andheri East Mumbai,720
Furnished,1,2,27500000,2,Andheri East Mumbai,900
Semi-Furnished,1,2,22000000,2,Andheri East Mumbai,848
Semi-Furnished,1,2,16600000,2,Andheri East Mumbai,710
Semi-Furnished,1,4,30000000,5,Andheri East Mumbai,720
Unfurnished,1,1,8200000,1,Andheri East Mumbai,720
Furnished,1,2,22200000,2,Andheri East Mumbai,700
Semi-Furnished,1,2,13900000,2,Andheri East Mumbai,650
Furnished,1,2,13500000,1,Andheri East Mumbai,720
Semi-Furnished,1,1,11000000,1,Andheri East Mumbai,300
Unfurnished,3,4,120000000,4,Andheri East Mumbai,2600
Furnished,1,2,20000000,2,Andheri East Mumbai,720
Unfurnished,1,2,13200000,1,Andheri East Mumbai,472
Unfurnished,2,2,32500000,2,Andheri East Mumbai,720
Furnished,1,2,17000000,2,Andheri East Mumbai,727
Unfurnished,1,3,36000000,3,Andheri East Mumbai,720
Furnished,1,2,21000000,2,Andheri East Mumbai,682
